"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 01 03:37:48 GMT+07:00 2021","Wed Dec 01 03:37:55 GMT+07:00 2021","7014","test","test_add_contact","test_add_contact[None:lastnameMwefN:firstname06:middlenameoTju5:nicknamesJlHnsJS:companyGJ6:addresspb1QrD:67974737576","","","test_add_contact[None:lastnameMwefN:firstname06:middlenameoTju5:nicknamesJlHnsJS:companyGJ6:addresspb1QrD:67974737576::27573727376777470:17477:None:None:None:None:None:None]",""
"passed","Wed Dec 01 03:38:25 GMT+07:00 2021","Wed Dec 01 03:38:27 GMT+07:00 2021","2000","test","test_comparison_contacts","","","","test_address_on_home_page",""
"passed","Wed Dec 01 03:38:23 GMT+07:00 2021","Wed Dec 01 03:38:25 GMT+07:00 2021","2066","test","test_comparison_contacts","","","","test_emails_on_home_page",""
"passed","Wed Dec 01 03:38:20 GMT+07:00 2021","Wed Dec 01 03:38:23 GMT+07:00 2021","3716","test","test_comparison_contacts","","","","test_phones_on_contact_view_page",""
"passed","Wed Dec 01 03:38:30 GMT+07:00 2021","Wed Dec 01 03:38:31 GMT+07:00 2021","1287","test","test_db_matches_ui","","","","test_group_list",""
"passed","Wed Dec 01 03:38:42 GMT+07:00 2021","Wed Dec 01 03:38:43 GMT+07:00 2021","797","test","test_del_group","","","","test_delete_some_group",""
"passed","Wed Dec 01 03:38:15 GMT+07:00 2021","Wed Dec 01 03:38:17 GMT+07:00 2021","2243","test","test_comparison_contacts","","","","test_all_info_on_home_page_and_db",""
"passed","Wed Dec 01 03:38:12 GMT+07:00 2021","Wed Dec 01 03:38:14 GMT+07:00 2021","1312","test","test_add_group","","","","test_add_group[None:nameVS :headeryeG9ek5G;:footerfJp%e %AW.w]",""
"passed","Wed Dec 01 03:38:31 GMT+07:00 2021","Wed Dec 01 03:38:34 GMT+07:00 2021","3294","test","test_del_contact","","","","test_delete_some_contact",""
"passed","Wed Dec 01 03:38:54 GMT+07:00 2021","Wed Dec 01 03:38:55 GMT+07:00 2021","1481","test","test_modify_group","","","","test_modify_some_group_name",""
"passed","Wed Dec 01 03:38:18 GMT+07:00 2021","Wed Dec 01 03:38:20 GMT+07:00 2021","2010","test","test_comparison_contacts","","","","test_phones_on_home_page",""
"passed","Wed Dec 01 03:38:28 GMT+07:00 2021","Wed Dec 01 03:38:30 GMT+07:00 2021","2092","test","test_comparison_contacts","","","","test_name_on_home_page",""
"passed","Wed Dec 01 03:38:43 GMT+07:00 2021","Wed Dec 01 03:38:53 GMT+07:00 2021","10361","test","test_modify_contact","","","","test_modify_some_contact_name",""
"passed","Wed Dec 01 03:38:10 GMT+07:00 2021","Wed Dec 01 03:38:11 GMT+07:00 2021","1310","test","test_add_group","","","","test_add_group[None:name]W;:headervIDxRr]:footer]",""
"passed","Wed Dec 01 03:37:56 GMT+07:00 2021","Wed Dec 01 03:38:03 GMT+07:00 2021","6978","test","test_add_contact","test_add_contact[None:lastnamemgiU:firstnameHi:middlenameL:nicknameOyNgaoJox:companyB:addressVrjmK9:57073:971","","","test_add_contact[None:lastnamemgiU:firstnameHi:middlenameL:nicknameOyNgaoJox:companyB:addressVrjmK9:57073:971::9:None:None:None:None:None:None]",""
"passed","Wed Dec 01 03:38:07 GMT+07:00 2021","Wed Dec 01 03:38:08 GMT+07:00 2021","1442","test","test_add_group","","","","test_add_group[None:Group1:Group1:Group1]",""
"passed","Wed Dec 01 03:37:27 GMT+07:00 2021","Wed Dec 01 03:37:34 GMT+07:00 2021","7127","test","test_add_contact","","","","test_add_contact[None:lastnameX:firstname:middlenameJn:nickname:company8y2EM:addressoOW:4747274:57672727972:1:47078717870:None:None:None:None:None:None]",""
"broken","Wed Dec 01 03:38:03 GMT+07:00 2021","Wed Dec 01 03:38:06 GMT+07:00 2021","3631","test","test_add_contact_in_group","","","","test_add_contact_into_group",""
"passed","Wed Dec 01 03:37:34 GMT+07:00 2021","Wed Dec 01 03:37:41 GMT+07:00 2021","7026","test","test_add_contact","","","","test_add_contact[None:lastnameA:firstname8c:middlename3Pvcd9:nicknamep:companyd:addressTR9Vy8GQl:973:2:174707875797873:57671:None:None:None:None:None:None]",""
"passed","Wed Dec 01 03:38:11 GMT+07:00 2021","Wed Dec 01 03:38:12 GMT+07:00 2021","1324","test","test_add_group","","","","test_add_group[None:name:headerz |C ;R:PNXPgL/I[:footer]%]l|4""P2(pk]",""
"passed","Wed Dec 01 03:38:34 GMT+07:00 2021","Wed Dec 01 03:38:42 GMT+07:00 2021","7704","test","test_del_contact_in_group","","","","test_del_contact_in_group",""
"passed","Wed Dec 01 03:38:14 GMT+07:00 2021","Wed Dec 01 03:38:15 GMT+07:00 2021","1303","test","test_add_group","","","","test_add_group[None:name!3?~3$ :headerX&v:footer 08 ySNbE `6]",""
"passed","Wed Dec 01 03:37:41 GMT+07:00 2021","Wed Dec 01 03:37:48 GMT+07:00 2021","6942","test","test_add_contact","","","","test_add_contact[None:lastname4XF89Cd:firstnameAoDxY40eg:middlenamebjxkX:nicknamenYLLgyt:company1y7tcbatv:address9xTUpZW:777:8767776787078767170:77777737673727479:5:None:None:None:None:None:None]",""
"passed","Wed Dec 01 03:38:08 GMT+07:00 2021","Wed Dec 01 03:38:10 GMT+07:00 2021","1342","test","test_add_group","","","","test_add_group[None:name^GCt w /:header&:K R pJ=D.\Lz[}ub:footerOBe.]",""
